algorithm,threads,batch_size,write_ratio,insert_p95_latency (ms),insert_p99_latency (ms),insert_mean_latency (ms),insert_qps,search_p95_latency (ms),search_p99_latency (ms),search_mean_latency (ms),search_qps,recall
hnsw,48,200,0.1,8402.0,8697.0,7177.77,1306.49,229.0,284.0,161.19,11758.43,95.085
hnsw,48,200,0.2,6766.0,6969.0,5749.65,1630.44,186.0,224.0,129.15,6521.78,95.135
hnsw,48,200,0.5,3786.0,3921.0,3117.61,3004.29,134.0,188.0,70.08,3004.29,95.056
hnsw,48,200,0.8,3578.0,3780.0,2907.34,3221.7,125.0,191.0,63.58,805.43,95.099
hnsw,48,200,0.9,3485.0,3757.0,2799.77,3342.98,120.0,175.0,60.86,367.73,95.052
parlayhnsw,48,200,0.1,12891.0,13083.0,11099.38,843.69,302.0,352.0,259.38,7593.19,95.073
parlayhnsw,48,200,0.2,7897.0,8112.0,6849.1,1363.52,219.0,256.0,172.76,5454.08,94.876
parlayhnsw,48,200,0.5,5042.0,5133.0,4375.87,2125.48,156.0,194.0,121.43,2125.48,94.833
parlayhnsw,48,200,0.8,4450.0,4605.0,3854.88,2421.89,120.0,145.0,91.04,605.47,94.804
parlayhnsw,48,200,0.9,4478.0,4612.0,3816.47,2449.51,116.0,142.0,84.53,269.45,94.759
parlayvamana,48,200,0.1,12166.0,12570.0,10821.34,865.43,268.0,290.0,240.58,7788.89,93.952
parlayvamana,48,200,0.2,9585.0,9840.0,8336.96,1122.49,212.0,225.0,184.75,4489.94,94.081
parlayvamana,48,200,0.5,7842.0,8149.0,6767.56,1381.9,174.0,186.0,149.0,1381.9,93.941
parlayvamana,48,200,0.8,7412.0,7707.0,6380.49,1465.81,164.0,172.0,138.43,366.45,94.072
parlayvamana,48,200,0.1,12187.0,12542.0,10847.65,863.39,269.0,289.0,240.89,7770.49,93.755
vamana,48,200,0.1,7133.0,7578.0,6091.75,1534.85,286.0,472.0,156.2,13813.67,94.604
vamana,48,200,0.2,6059.0,6442.0,5016.85,1865.13,199.0,287.0,120.8,7460.51,94.671
